br?	Month	EXT_STAT-m1_is_missing	EXT_STAT-m1_=_C	EXT_STAT-m1_=_E	EXT_STAT-m1_=_I	INT_STAT-m1_is_missing	INT_STAT-m1_=_N	INT_STAT-m1_=_O	INT_STAT-m1_=_X	CASH-m1	EXT_STAT-m1_=_I*INT_STAT-m1_is_missing 	Calibrator
1	7	1	0	0	0	0	0	0	0	19.12	0	-0.147848
1	16	-1.11022e-16	0	1	0	0	0	0	1	20.15	0	0.143965
1	17	1	0	0	0	1	0	0	0	20.33	0	0.139888
1	9	-1.11022e-16	0	1	0	0	0	0	1	19.02	0	0.0838572
1	15	-1.11022e-16	0	1	0	0	0	0	1	20.99	0	0.120077
1	15	-1.11022e-16	0	0	1	0	0	0	0	13.99	0	-0.0176152
1	12	-1.11022e-16	0	1	0	0	0	0	0	19.99	0	0.0168208
1	9	1	0	0	0	0	0	0	0	19.99	0	-0.141179
1	13	-1.11022e-16	1	0	0	0	0	0	1	21.99	0	-0.0106002
1	16	-1.11022e-16	1	0	0	0	0	0	0	18.49	0	-0.0317607
1	14	1	0	0	0	0	0	0	1	19.99	0	-0.0204608
1	9	-1.11022e-16	0	1	0	0	0	0	0	17.99	0	0.0143948
1	14	-1.11022e-16	0	1	0	0	0	0	1	21.99	0	0.0957406
1	16	1	0	0	0	1	0	0	0	19.99	0	0.147933
1	15	-1.11022e-16	0	1	0	0	0	0	0	14.15	0	0.0955752
1	16	-1.11022e-16	0	1	0	0	0	0	0	15.15	0	0.0927825
1	15	1	0	0	0	0	0	1	0	5.9	0	-0.20108
1	8	-1.11022e-16	0	1	0	0	0	0	1	17.8	0	0.0893856
1	9	-1.11022e-16	0	1	0	0	0	0	1	19.99	0	0.0723207
1	9	-1.11022e-16	0	1	0	0	0	0	1	19.05	0	0.0835465
1	17	-1.11022e-16	0	1	0	0	0	0	1	22.33	0	0.123355
1	18	-1.11022e-16	0	1	0	0	0	0	1	20.3	0	0.165522
1	8	-1.11022e-16	0	1	0	0	0	0	0	20.15	0	-0.00593179
